Bulgarisch,Bulgarian
variieren,to vary
"die W-Frage, -n",w-question
er,he
ergänzen,to complete
sie (Sie kommt aus Deutschland.),she (She's from Germany.)
notieren,to note
"der Partner, -",partner (m)
"die Partnerin, -nen",partner (f)
"raten, er rät, hat geraten",to guess
vor|stellen (Stellen Sie Ihren Partner im Kurs vor.),to introduce (Introduce your partner to the course.)
acht,eight
achtzehn,eighteen
"der Buchstabe, -n",letter
dann,then
drei,three
dreizehn,thirteen
eins,one
elf,eleven
fünf,five
fünfzehn,fifteen
laut,loud
"mit|sprechen, er spricht mit, hat mitgesprochen",to speak along
neun,nine
neunzehn,nineteen
null,zero
sechs,six
sechzehn,sixteen
sieben,seven
siebzehn,seventeen
vier,four
vierzehn,fourteen
"die Zahl, -en",number
zehn,ten
zwanzig,twenty
zwölf ,twelve
"die Handynummer, -n",mobile phone number
"dein, deine",your
fragen,to ask
"die Telefonnummer, -n",telephone number
"das Alphabet, -e",alphabet
zuerst,at first
"die E-Mail-Adresse, -n",email address
"das Gespräch, -e",conversation
man,one
minus,minus
"der Punkt, -e (der Punkt am Satzende)",period (the period at the end of a sentence)
sagen,to say
"schreiben, er schreibt, hat geschrieben",to write
"der Unterstrich, -e",underscore
bitte,please
buchstabieren,to spell
"der Dialog, -e",dialogue
ein bisschen,a little
langsam,slow
nicht,not
noch einmal,once more
"verstehen, er versteht, hat verst nden (Das verstehe ich nicht.)",to understand (I do not understand that.)
Algerien,Algeria
Arabisch,Arabic
Brasilien,Brasil
Französisch,French
Japan,Japan
"das Land, ""-er",country
lernen (Sie lernt Spanisch.),to learn (She's learning Spanish.)
Österreich,Austria
Portugiesisch,Portugese
die Schweiz (Sg.) (Sie kommt aus der Schweiz.),Switzerland (She's from Switzerland.)
sie (Kennst du die Personen? Wo wohnen sie?),they (Do you know the people? Where do they live?)
"die Tabelle, -n","table, chart"
die USA (Pl.) (Olivia kommt aus den USA.),USA (Olivia is from the USA.)
Frankreich,France
Griechenland,Greece
Italien,Italy
Mexiko,Mexico
Portugal,Portugal
Thailand,Thailand
Polen,Poland
Polnisch,Polish
Rätoromanisch,Raetho-Romanic
Russland,Russia
Spanien,Spain
die Türkei (Sg.),Turkey
die Ukraine (Sg.),Ukraine
zu (Arbeiten Sie zu zweit.),here: as (Work as a pair.)
zweit (Arbeiten Sie zu zweit.),here: pair (Work as a pair.)
kurz (Schreiben Sie einen kurzen Text.),short (Write a short text.)
"die Stadt, ""-e",city
"der Text, -e",text
das Befinden (Sg.),condition
darauf,upon
"die Grammatik, -en",grammar
grüßen,to great
reagieren,to react
"das Redemittel, -",useful phrases
"das Subjekt, -e",subject
über (+ A.) (über andere sprechen),about (to speak about others)
verabschieden,to say goodbye
"das W-Wort, ""-er",w-word
