Bulgarisch,Bulgarian
variieren,to vary
"die W-Frage, -n",w-question
er,he
ergänzen,to complete
sie (Sie kommt aus Deutschland.),she (She's from Germany.)
notieren,to note
"der Partner, -",partner (m)
"die Partnerin, -nen",partner (f)
"raten, er rät, hat geraten",to guess
vor|stellen (Stellen Sie Ihren Partner im Kurs vor.),to introduce (Introduce your partner to the course.)
acht,eight
achtzehn,eighteen
"der Buchstabe, -n",letter
dann,then
drei,three
dreizehn,thirteen
eins,one
elf,eleven
fünf,five
fünfzehn,fifteen
laut,loud
"mit|sprechen, er spricht mit, hat mitgesprochen",to speak along
neun,nine
neunzehn,nineteen
null,zero
sechs,six
sechzehn,sixteen
sieben,seven
siebzehn,seventeen
vier,four
vierzehn,fourteen
"die Zahl, -en",number
zehn,ten
zwanzig,twenty
zwölf ,twelve
"die Handynummer, -n",mobile phone number
"dein, deine",your
fragen,to ask
"die Telefonnummer, -n",telephone number
"das Alphabet, -e",alphabet
zuerst,at first
"die E-Mail-Adresse, -n",email address
"das Gespräch, -e",conversation
man,one
minus,minus
"der Punkt, -e (der Punkt am Satzende)",period (the period at the end of a sentence)
sagen,to say
"schreiben, er schreibt, hat geschrieben",to write
"der Unterstrich, -e",underscore
bitte,please
buchstabieren,to spell
"der Dialog, -e",dialogue
ein bisschen,a little
langsam,slow
nicht,not
noch einmal,once more
"verstehen, er versteht, hat verst nden (Das verstehe ich nicht.)",to understand (I do not understand that.)
Algerien,Algeria
Arabisch,Arabic
Brasilien,Brasil
Französisch,French
Japan,Japan
"das Land, ""-er",country
lernen (Sie lernt Spanisch.),to learn (She's learning Spanish.)
Österreich,Austria
Portugiesisch,Portugese
die Schweiz (Sg.) (Sie kommt aus der Schweiz.),Switzerland (She's from Switzerland.)
sie (Kennst du die Personen? Wo wohnen sie?),they (Do you know the people? Where do they live?)
"die Tabelle, -n","table, chart"
die USA (Pl.) (Olivia kommt aus den USA.),USA (Olivia is from the USA.)
Frankreich,France
Griechenland,Greece
Italien,Italy
Mexiko,Mexico
Portugal,Portugal
Thailand,Thailand
Polen,Poland
Polnisch,Polish
Rätoromanisch,Raetho-Romanic
Russland,Russia
Spanien,Spain
die Türkei (Sg.),Turkey
die Ukraine (Sg.),Ukraine
zu (Arbeiten Sie zu zweit.),here: as (Work as a pair.)
zweit (Arbeiten Sie zu zweit.),here: pair (Work as a pair.)
kurz (Schreiben Sie einen kurzen Text.),short (Write a short text.)
"die Stadt, ""-e",city
"der Text, -e",text
das Befinden (Sg.),condition
darauf,upon
"die Grammatik, -en",grammar
grüßen,to great
reagieren,to react
"das Redemittel, -",useful phrases
"das Subjekt, -e",subject
über (+ A.) (über andere sprechen),about (to speak about others)
verabschieden,to say goodbye
"das W-Wort, ""-er",w-word
gern,glad
die Leute (Pl.),people
fotografieren,to photograph
"der Freund, -e",friend
"die Freundin, -nen","female friend, girlfriend"
joggen,to jog
"der Kollege, -n",colleague (m)
"die Kollegin, -nen",colleague (f)
die Musik (Sg.),music
"singen, er singt, hat gesungen",to sing
tanzen,to dance
an|kreuzen,to mark
"gehen, er geht, ist gegangen (Gehst du gern ins Kino?)",to go (Do you like going to the cinema?)
"das Kino, -s",movie theater
kochen,to cook
reisen,to travel
"schwimmen, er schwimmt, ist geschwommen",to swim
antworten,to answer
arbeiten (Arbeiten Sie zu zweit.),to work (Work as a pair.)
"ja (Liest du gern? - Ja, sehr gern.)","yes (Do you like to read? - Yes, very.)"
nein,no
"so (Schwimmst du gern? - Nein, nicht so gern.)","so (Do you like swimming? - No, not so much.)"
so (Singst du gern? - Es geht so.),so (Do you like to sing? - So and so.)
"das Buch, ""-er",book
Fußball (Sg. ohne Artikel) (Er spielt gern Fußball.),football (He likes to play football.)
lieben,to love
"die Sensation, -en",sensation
super,super
toll,great
wir,we
am (Kochen wir am Wochenende Spaghetti?),at (Are we going to cook spaghetti at the weekend?)
arbeiten (Was arbeitest du?),to work (What do you work as?)
"die Endung, -en",ending
"das Foto, -s",photo
ihr (Joggt ihr morgen auch?),you (Are you going jogging tomorrow as well?)
"der Kommentar, -e",commentary
lustig,funny
"der Moment, -e (Im Moment lese ich ein Buch von Daniel Kehlmann.)",moment (I'm reading a book by Daniel Kehlmann at the moment.)
morgen,tomorrow
die Spaghetti (Pl.),spaghetti
von (+ D.) (Ich lese ein Buch von Daniel Kehlmann.),by (I'm reading a book by Daniel Kehlmann.)
wirklich (Spielen Sie wirklich Fußball?),really (Do you really play football?)
"das Wochenende, -n",weekend
dritt (Arbeiten Sie zu dritt.),here: threes (Work in threes)
"die Form, -en","form, shape, mold"
"der infinitiv, -e",infinitive
"nennen, er nennt, hat genannt",to name
"das Hobby, -s",hobby
mit (+ D.),with
"der Dienstag, -e",Tuesday
"der Donnerstag, -e",Thursday
"der Freitag, -e",Friday
"der Mittwoch, -e",Wednesday
"der Montag, -e",Monday
"der Samstag, -e",Saturday
"der Sonntag, -e",Sunday
wann,when
"der Wochentag, -e",day of the week
"die Frage, -n",question
"gehen, er geht, ist geg ngen (Gehen wir ins Kino? - Nein, das geht leider nicht.)","to go (Are we going to the cinema? - No, that won't work unfortunately.)"
leider,unfortunately
"nach|sprechen, er spricht nach, hat nachgesprochen",to repeat
"die Satzmelodie , -n",intonation
achten,to pay attention to sth
auf (+ A.) (Achten Sie auf die Satzmelodie.),here: to (Pay attention to the intonation.)
für (+ A.),for
oft,often
"das Café, -s",café
durch (+ A.),through
"die Ja-/Nein-Frage, -n",yes-/no-question
"jede, jeder",every
"der Kursraum, ""-e",course room
"das Museum, Museen",museum
"das Restaurant, -s",restaurant
"das Schwimmbad, ""-er",swimming pool
"das Stadion, Stadien",stadium
"der Tag, -e",day
"der Termin, -e",appointment
"das Theater, -",theatre
"die Ver bredung, -en",appointment
"der Artikel, -",article
"der Arzt, ""-e",doctor (m)
"die Arztin, -nen",doctor (f)
"das Auto, -s",car
"der Beruf, -e",occupation
best mmt (der bestimmte Artikel),here: definite (the definite article)
"der Computer, -",computer
feminin,feminine
"geben, es gibt, es hat gegeben (Es gibt mehrere Möglichkeiten.)",here: to be (There are several possibilities.)
"das Geld, -er",money
"das Glas, ""-er",glass
"der Kellner, -",waiter
"die Kellnerin, -nen",waitress
maskulin,masculine
"das Medikament, -e",medicine
mehrere,several
"die Möglichkeit, -en",possibility
neutrum,neuter
passen (Welches Foto passt zum Text?),to match (which picture matched to which text?)
"der Plural, -e",plural
"die Rechnung, -en",bill
"der Schlüssel, -",key
"die Spritze, -n",injection
"der Stift, -e",pencil
"die Straße, -n",street
"der Student, -en",student (m)
"die Studentin, -nen",student (f)
"die Tablette, -n",pill
"der Taxifahrer, -",taxi driver (m)
"die Taxifahrerin, -nen",taxi driver (f)
zu (+ D.) (Was passt zu den Berufen?),to (What fits to the occupations?)
markieren,to highlight
"das Nomen, -",noun
"das Kapitel, -",chapter
"der Kurs, -e",course
"der Lernwortschatz, ""-e",learning vocabulary
"die Seite, -n",page
suchen,to search
"das Übungsbuch, ""-er",exercise book
"vergleichen, er vergleicht, hat vergl chen",to compare
"weitere, weiterer",further
"der Abend, -e",evening
"aber (Ich arbeite viel, aber ich habe zwei Tage frei: Montag und Dienstag.)","but (I work a lot, but i have two free days: Monday and Tuesday.)"
lt (Ich bin 22 Jahre alt.),old (I'm 22 years old.)
"bei (+ D.) (Ich arbeite bei ""Taxi-Zentral"".)","at (I work at ""Taxi-Zentral"".)"
"fahren, er fährt, ist gefahren",to drive
"frei|haben, er hat frei, hat freigehabt",to have a holiday
groß,large
"haben, er hat, hat gehabt (Ich habe pro Woche 24 Stunden Seminare und Kurse.)",to have (I have 24 hours of seminars and courses a week.)
hier,here
"das Jahr, -e (Ich fahre 68.000 Kilometer pro Jahr.)",year (I drive 68.000 kilometres per year.)
"das Jahr, -e (Ich bin 22 Jahre alt.)",year (I'm 22 years old.)
"der Kilometer, - (= km)",kilometre (=km)
"das Krankenhaus, ""-er",hospital
"der Krankenpfleger, -",nurse (m)
"die Krankenpflegerin, -nen",nurse (f)
meistens,mostly
"der Nachmittag, -e",afternoon
nachts,at night
"der Patient, -en",patient (m)
"die Patientin, -nen",patient (f)
der Platz (Sg.) (Wir haben Platz für 1.250 Patienten.),room (We have room for 1.250 patients.)
pro,per
"das Seminar, -e",seminar
"die Stunde, -n",hour
"die Universität, -en",university
"viel, viele",a lot
von … bis (Ich arbeite von 6 bis 15 Uhr.),from…till (I work from 6 am till 3 pm.)
warten,to wait
"die Wache, -n",week
"das Zimmer, -",room
b (+ D.) (Nennen Sie die Zahlen ab 20.),here: starting at (Name all numbers starting at 20.)
lle (Notieren Sie alle Zahlen.),all (Note all numbers.)
einhundert,one hundred
hundert,hundred
"unterstreichen, er unterstreicht, hat unterstrichen",to underline
"die Information, -en",information
von (+ D.) (Was sind Sie von Beruf?),by (What is your occupation?)
präsentieren,to present
"die Pluralform, -en",plural form
"der Singular, -e",singular
immer,always
"die Pluralendung, -en",plural ending
gegenseitig,mutual
"die Lernkarte, -n",learning cards
tauschen,to switch
"der Architekt, -en",architect (m)
"die Architektin, -nen",architect (f)
"der Friseur, -e",hairdresser (m)
"die Friseurin, -nen",hairdresser (f)
"der Informatiker, -",computer scientist (m)
"die Informatikerin, -nen",computer scientist (f)
"der Ingenieur, -e",engineer (m)
"die Ingenieurin, -nen",engineer (f)
"der Lehrer, -",teacher (m)
"die Lehrerin, -nen",teacher (f)
noch (Kennen Sie noch andere Berufe?),"yet, even, here: any (Do you know any other occupations?)"
"der Verkäufer, -",salesperson (m)
"die Verkäuferin, -nen",salesperson (f)
"der Elektriker, -",electrician (m)
"die Elektrikerin, -nen",electrician (f)
"der Erzieher, -",kindergarten teacher (m)
"die Erzieherin, -nen",kindergarten teacher (f)
"der Handwerker, -",craftsman
"die Handwerkerin, -nen",craftswoman
"der Journalist, -en",journalist (m)
"die Journalistin, -nen",journalist (f)
"der Jurist, -en",solicitor (m)
"die Juristin, -nen",solicitor (f)
"der Koch, ""-e",cook (m)
"die Kochin, -nen",cook (f)
"der Mechaniker, -",mechanic (m)
"die Mechanikerin, -nen",mechanic (f)
"der Polizist, -en",police officer (m)
"die Polizistin, -nen",police officer (f)
berichten,to report
"die Notiz, -en",note
studieren,to study
"n|sehen, er sieht  n, hat ngesehen",to look at
"das Beispiel, -e (zum Beispiel)",example (for example)
"die Farbe, -n",colour
"stehen, er steht, hat gestanden (Wo steht die Frau?)",to stand (Where is the woman standing?)
"das Worterbuch, ""-er",dictionary
"das Artikelbild, -er",article picture
blau,blue
grün,green
merken,to remember
rot,red
"das Taxi, -s",taxi
"die Zeichnung, -en",drawing
"eigene, eigener",own
"die Adresse, -n",address
"die Angabe, -n (Machen Sie persönliche Angaben.)",here: information (Give personal information.)
"der Club, -s",club
"der Familienname, -n",family name
"das Geburtsdatum, -daten",date of birth
"der Geburtsort, -e",birth place
neu,new
persönlich,personally
zusammen|passen,to fit together
Basketball (Sg. ohne Artikel),basketball
"die E-Mail, -s",e-mail
"die Firma, Firmen",company
"das Formular, -e",form
"die Hausnummer, -n",house number
Karate,karate
"kein, keine",no
mannlich,male
"die Postleitzahl, -en",zip code
"die Schule, -n",school
"der Sportclub, -s",sports club
Tennis (Sg. ohne Artikel),tennis
wählen,to choose
weiblich,female
"der Wohnort, -e",place of residence
Yoga (Sg. ohne Artikel),yoga
Zumba (Sg. ohne Artikel),zumba
achtzig,eighty
dreißig,thirty
eintausend,one thousand
"die Milliarde, -n",billion
"die Million, -en",million
neunzig,ninety
sechzig,sixty
siebzig,seventy
tausend,thousand
ver breden (sich),to make plans
vierzig,fourty
"die Stadttour, -en",city tour
"die Station, -en",station
"der Bahnhof, ""-e",train station
die Bauzeit (Sg.),construction period
"der Besucher, -",visitor (m)
"die Besucherin, -nen",visitor (f)
b s (+ D.) (Bauzeit: bis 2016),until (Construction period: Until 2016)
breit,wide
"erste,  erster",first
"der Euro, -s",euro
hoch,high
"die Kirche, -n",church
"das Konzert, -e",concert
"das Konzerthaus, ""-er",concert hall
die Kosten (Pl.),to cost
"der Meter, -",metre
die Mitte (Sg.),middle
"das Rathaus, ""-er",town hall
"der Star, -s",star
"der Turm, ""-e",tower
über (Der Turm ist über 120 Jahre alt.),over (The tower is over 160 years old.)
auf (+ D.) (Die Schiffe fahren auf dem Fluss.),on (The ships sail on the river.)
bis zu,up to
circa (= ca.),approximately (= approx.)
da,there
dem (Die Schiffe fahren auf dem Fluss.),the (The ships sail on the river.)
"der Fluss, ""-e",river
"der Hafen, ""-",harbour
n (+ D.) (Der Zug fährt in 8 Stunden nach Warschau.),in (The train will be leaving for Warsaw in eight hours.)
"das Meer, -e",sea
"der Mensch, -en",person
nach (+ D.) (Der Zug fährt nach Warschau.),to (The train is going to Warsaw.)
"das Schiff, -e",ship
"sehen, er sieht, hat gesehen",to see
"das Symbol, -e",symbol
"der Zug, ""-e",train
"die Ausstellung, -en",exhibition
"die Brücke, -n",bridge
lang,long
"der Ort, -e",here: village
über (+ A.) (Sammeln Sie Informationen über Ihre Stadt.),about (Collect information about your city.)
grüezi,Swiss word for: hello
grüß G tt,good day
"das Hotel, -s",hotel
moin,good morning
so (So sagt man auf Deutsch: …),here: this (In German you say it like this: …)
"die Taxifahrt, -en",taxi ride
"der Weg, -e",way
interessant,interesting
"die Kunsthalle, -n",art gallery
"die Lösung, -en",solution
okay,okay
"der Plan, ""-e",plan
rechts,right
rechtig (Ist der Satz richtig oder falsch?),true (Is the sentence true or false?)
schon (Da ist auch schon das Hotel.),already (There is the hotel already.)
schön,pretty
"der See, -n",lake
zeichnen,to draw
"auf|stehen, er steht auf, ist aufgestanden",to stand up
bilden (Bilden Sie drei Gruppen.),to form (Form three groups.)
"die Gruppe, -n",group
passend,matching
nbestimmt (der unbestimmte Artikel),indeterminate (the indeterminate article)
"das Haus, ""-er",house
"der S tz, ""-e",sentence
doppelt,double
"der Konsonant, -en",consonant
"der Vokal, -e",vowel
vor (+ D.) (Vor dem Nomen steht der Artikel.),before (The article stands before the noun.)
"der Arm, -e",arm
klopfen,to knock
kreisen,to circle
"der Tisch, -e",table
"die B ldgeschichte, -n",comic strip
"der Bus, -se",bus
"das Fahrrad, ""-er",bicycle
"die U-Bahn, -en",subway
zeigen (Zeigen Sie auf das Bild.),to point (Point to the picture.)
zu Fuß (Pia geht zu Fuß.),on foot (Pia is going on foot.)
"das Flugzeug, -e",airplane
"die S-Bahn, -en",suburban train
"die Straßenbahn, -en",tram
aber (Jetzt aber schnell!),but (But get a move on now!)
"lso (Kein Bus, also schnell!)","so (No bus, so, quickly!)"
"das Bild, -er",picture
"die Fahrkarte, -n",ticket
das Glück (Sg.) (So ein Glück!),luck (Such luck!)
heute,today
jetzt,now
schnell,quick
"der Test, -s",test
"die Konzertkarte, -n",concert ticket
"der Negationsartikel, -",negative article
links,left
"die Wegbeschreibung, -en",directions
geradeaus,straight ahead
der Dank (Sg.) (Vielen Dank.),thanks (Thank you very much.)
einfach (Das ist ganz einfach.),easy (That is very easy.)
"genau (Ja, genau.)","exactly (Yes, exactly.)"
"der imperativ, -e",imperative
"das Mal, -e (Würfeln Sie drei Mal.)",time (Roll the dice three times.)
"der Markt, ""-e",market
"der Park, -s",park
"der Start, -s",starting line
würfeln,to roll (the dice)
"das Ziel, -e",goal
"der Chor, ""-e",choir
deutschsprachig,German-speaking
"diese, dieser",this
dirigieren,to conduct
"das Event, -s",event
"das Festival, -s",festival
"der Film, -e",film
"der Filmfan, -s",film fan
"der Gast, ""-e",guest
"ihr, ihre (Die Stadthalle zeigt ihre Produktionen.)",its (The town hall shows its productions.)
"das Orchester, -",orchestra
"die Produktion, -en",production
das Publikum (Sg.),audience
"der Regisseur, -e",director (m)
"die Regisseurin, -nen",director (f)
"das Requiem, -s",requiem
"der Schauspieler, -",actor
"die Schauspielerin, -nen",actress
"sein, seine (Der Regisseur präsentiert seinen Film.)",his (The director presents his film.)
"der Solist, -en",soloist (m)
"die Solistin, -nen",soloist (f)
"das Theater-Festival, -s",theatre festival
"das Ticket, -s",ticket
"die Welt, -en",world
ähnlich,similar
"finden, er findet, hat gefunden (Finden Sie Sport interessant?)",to find (Do you find sport interesting?)
der April (Sg.),April
der August (Sg.),August
der Dezember (Sg.),December
der Februar (Sg.),February
der Frühling (Sg.),spring
der Herbst (Sg.),autumn
der Januar (Sg.),January
der Juli (Sg.),July
der Juni (Sg.),June
der Mai (Sg.),May
der März (Sg.),March
"der Monat, -e",month
der November (Sg.),November
der Oktober (Sg.),October
der September (Sg.),September
"der Sommer, -",summer
"der W nter, -",winter
"die Jahreszeit, -en",season
"das Plakat, -e",poster
"das Adjektiv, -e",adjective
"das Ding, -e",thing
"die Position, -en",position
stellen (eine Frage stellen),here: to ask (to ask a question)
