gern,glad
"das Nomen, -",noun
"das Kapitel, -",chapter
"der Kurs, -e",course
"der Lernwortschatz, ""-e",learning vocabulary
"die Seite, -n",page
suchen,to search
"das Übungsbuch, ""-er",exercise book
"vergleichen, er vergleicht, hat vergl chen",to compare
"weitere, weiterer",further
"der Abend, -e",evening
"aber (Ich arbeite viel, aber ich habe zwei Tage frei: Montag und Dienstag.)","but (I work a lot, but i have two free days: Monday and Tuesday.)"
lt (Ich bin 22 Jahre alt.),old (I'm 22 years old.)
"bei (+ D.) (Ich arbeite bei ""Taxi-Zentral"".)","at (I work at ""Taxi-Zentral"".)"
"fahren, er fährt, ist gefahren",to drive
"frei|haben, er hat frei, hat freigehabt",to have a holiday
groß,large
"haben, er hat, hat gehabt (Ich habe pro Woche 24 Stunden Seminare und Kurse.)",to have (I have 24 hours of seminars and courses a week.)
hier,here
"das Jahr, -e (Ich fahre 68.000 Kilometer pro Jahr.)",year (I drive 68.000 kilometres per year.)
"das Jahr, -e (Ich bin 22 Jahre alt.)",year (I'm 22 years old.)
"der Kilometer, - (= km)",kilometre (=km)
"das Krankenhaus, ""-er",hospital
"der Krankenpfleger, -",nurse (m)
"die Krankenpflegerin, -nen",nurse (f)
meistens,mostly
"der Nachmittag, -e",afternoon
nachts,at night
"der Patient, -en",patient (m)
"die Patientin, -nen",patient (f)
der Platz (Sg.) (Wir haben Platz für 1.250 Patienten.),room (We have room for 1.250 patients.)
pro,per
"das Seminar, -e",seminar
"die Stunde, -n",hour
"die Universität, -en",university
"viel, viele",a lot
von … bis (Ich arbeite von 6 bis 15 Uhr.),from…till (I work from 6 am till 3 pm.)
warten,to wait
"die Wache, -n",week
"das Zimmer, -",room
b (+ D.) (Nennen Sie die Zahlen ab 20.),here: starting at (Name all numbers starting at 20.)
lle (Notieren Sie alle Zahlen.),all (Note all numbers.)
einhundert,one hundred
hundert,hundred
"unterstreichen, er unterstreicht, hat unterstrichen",to underline
"die Information, -en",information
von (+ D.) (Was sind Sie von Beruf?),by (What is your occupation?)
präsentieren,to present
"die Pluralform, -en",plural form
"der Singular, -e",singular
immer,always
"die Pluralendung, -en",plural ending
gegenseitig,mutual
"die Lernkarte, -n",learning cards
tauschen,to switch
"der Architekt, -en",architect (m)
"die Architektin, -nen",architect (f)
"der Friseur, -e",hairdresser (m)
"die Friseurin, -nen",hairdresser (f)
"der Informatiker, -",computer scientist (m)
"die Informatikerin, -nen",computer scientist (f)
"der Ingenieur, -e",engineer (m)
"die Ingenieurin, -nen",engineer (f)
"der Lehrer, -",teacher (m)
"die Lehrerin, -nen",teacher (f)
noch (Kennen Sie noch andere Berufe?),"yet, even, here: any (Do you know any other occupations?)"
"der Verkäufer, -",salesperson (m)
"die Verkäuferin, -nen",salesperson (f)
"der Elektriker, -",electrician (m)
"die Elektrikerin, -nen",electrician (f)
"der Erzieher, -",kindergarten teacher (m)
"die Erzieherin, -nen",kindergarten teacher (f)
"der Handwerker, -",craftsman
"die Handwerkerin, -nen",craftswoman
"der Journalist, -en",journalist (m)
"die Journalistin, -nen",journalist (f)
"der Jurist, -en",solicitor (m)
"die Juristin, -nen",solicitor (f)
"der Koch, ""-e",cook (m)
"die Kochin, -nen",cook (f)
"der Mechaniker, -",mechanic (m)
"die Mechanikerin, -nen",mechanic (f)
"der Polizist, -en",police officer (m)
"die Polizistin, -nen",police officer (f)
berichten,to report
"die Notiz, -en",note
studieren,to study
"n|sehen, er sieht  n, hat ngesehen",to look at
"das Beispiel, -e (zum Beispiel)",example (for example)
"die Farbe, -n",colour
"stehen, er steht, hat gestanden (Wo steht die Frau?)",to stand (Where is the woman standing?)
"das Worterbuch, ""-er",dictionary
"das Artikelbild, -er",article picture
blau,blue
grün,green
merken,to remember
rot,red
"das Taxi, -s",taxi
"die Zeichnung, -en",drawing
"eigene, eigener",own
"die Adresse, -n",address
"die Angabe, -n (Machen Sie persönliche Angaben.)",here: information (Give personal information.)
"der Club, -s",club
"der Familienname, -n",family name
"das Geburtsdatum, -daten",date of birth
"der Geburtsort, -e",birth place
neu,new
persönlich,personally
zusammen|passen,to fit together
Basketball (Sg. ohne Artikel),basketball
"die E-Mail, -s",e-mail
"die Firma, Firmen",company
"das Formular, -e",form
"die Hausnummer, -n",house number
Karate,karate
"kein, keine",no
mannlich,male
"die Postleitzahl, -en",zip code
"die Schule, -n",school
"der Sportclub, -s",sports club
Tennis (Sg. ohne Artikel),tennis
wählen,to choose
weiblich,female
"der Wohnort, -e",place of residence
Yoga (Sg. ohne Artikel),yoga
Zumba (Sg. ohne Artikel),zumba
achtzig,eighty
dreißig,thirty
eintausend,one thousand
"die Milliarde, -n",billion
"die Million, -en",million
neunzig,ninety
sechzig,sixty
siebzig,seventy
tausend,thousand
ver breden (sich),to make plans
vierzig,fourty
